ZipCode,Neighborhood,CommuteTimeCategoriesNum,RailHwyCategoriesNum,CentralCategoriesNum,AmenitiesCategoriesNum,EducationCategoriesNum,AquaticCategoriesNum,PropertyAffordabilityCategoriesNum,IncomeCategoriesNum,MarriageCategoriesNum,MedianCategoriesNum,HDCategoriesNum,ChildCategoriesNum
33010,Hialeah,1,1,1,2,3,2,2,1,2,2,3,2
33012,Hialeah,2,2,2,2,3,3,1,1,2,2,3,2
33013,Hialeah,2,2,1,1,3,3,2,1,2,2,2,2
33014,Hialeah,2,2,2,2,3,3,2,2,2,2,2,2
33015,Hialeah,2,3,3,1,3,3,2,2,2,2,3,3
33016,HialeahGardens,1,2,2,2,3,3,1,1,2,2,3,3
33018,HialeahGardens,2,2,3,1,3,3,2,2,2,2,1,3
33030,Homestead,3,2,3,2,2,3,2,1,1,1,1,3
33031,Homestead,3,3,3,1,3,3,2,3,2,2,1,2
33032,Homestead,3,2,3,1,2,2,2,2,1,1,1,3
33033,Homestead,3,3,3,1,2,2,2,2,1,1,1,3
33034,Homestead,2,2,3,1,3,3,1,1,1,1,1,3
33054,Opa-Locka,2,1,2,1,3,2,2,1,1,1,1,3
33055,Opa-Locka,2,3,3,1,3,2,2,2,1,2,2,3
33056,Opa-Locka,2,2,2,1,3,2,2,2,1,1,2,3
33122,MiamiGardens,1,1,1,1,1,2,3,2,1,2,1,3
33125,MiamiGardens,2,1,1,1,3,1,2,1,1,2,3,2
33126,MiamiGardens,2,1,1,2,3,1,2,1,2,2,3,2
33127,MiamiGardens,2,1,1,2,3,2,1,1,1,2,2,2
33128,DowntownMiami,2,1,1,1,3,1,1,1,1,2,3,2
33129,DowntownMiami,1,1,1,1,1,1,3,3,2,2,3,1
33130,DowntownMiami,2,1,1,2,2,1,2,1,1,2,3,1
33133,CoconutGrove,1,2,1,2,1,1,3,3,2,2,3,1
33134,SouthwestMiami,1,2,1,2,1,1,2,2,2,2,2,1
33135,SouthwestMiami,2,2,1,2,3,1,1,1,1,2,3,2
33136,NorthwestMiami,2,1,1,2,3,1,1,1,1,2,3,2
33137,NortheastMiami,1,1,1,2,1,1,2,2,1,2,3,1
33138,NortheastMiami,2,1,1,1,2,1,2,2,1,2,2,2
33139,MiamiBeach,2,1,1,2,1,1,2,2,1,2,3,1
33140,MiamiBeach,1,3,1,1,1,1,2,3,2,2,3,1
33141,MiamiBeach,2,3,1,2,2,1,1,2,2,2,3,1
33142,NorthwestMiami,2,1,1,2,3,2,1,1,1,2,2,2
33143,SouthwestMiami,2,1,1,1,1,1,3,2,2,2,2,2
33144,SouthwestMiami,1,1,1,2,2,2,2,2,2,2,2,2
33145,SouthwestMiami,1,1,1,1,2,1,2,2,2,2,3,2
33146,CoralGables,1,2,1,1,1,1,3,3,1,1,2,2
33147,NorthwestMiami,2,2,1,2,3,2,2,1,1,2,2,3
33149,KeyBiscayne,1,3,1,1,1,1,3,3,2,2,2,2
33150,NorthwestMiami,2,1,1,1,3,2,1,1,1,2,2,3
33154,MiamiBeach,2,3,1,1,1,1,3,3,2,2,3,2
33155,SouthwestMiami,1,1,1,2,2,1,1,2,2,2,2,2
33156,SouthwestMiami,2,2,1,2,1,1,3,3,2,2,1,2
33157,SouthwestMiami,3,2,2,2,2,1,1,2,1,2,2,3
33160,MiamiBeach,2,2,2,2,1,1,2,2,2,2,3,1
33161,NortheastMiami,2,2,2,2,3,1,1,1,1,2,3,3
33162,NortheastMiami,2,1,2,2,3,1,2,2,1,2,2,3
33165,SouthwestMiami,2,2,1,2,3,2,2,2,2,2,2,2
33166,NorthwestMiami,1,1,1,2,2,2,2,2,2,2,1,2
33167,NorthwestMiami,2,2,2,1,3,2,1,1,1,2,1,3
33168,NorthwestMiami,2,1,2,2,3,2,2,2,1,2,2,3
33169,NorthwestMiami,2,1,2,2,3,2,1,2,1,2,2,3
33170,SouthwestMiami,3,2,3,1,3,2,2,2,1,1,1,3
33172,NorthwestMiami,1,1,2,1,2,3,1,2,2,2,2,2
33173,SouthwestMiami,2,1,1,1,2,3,3,2,2,2,2,2
33174,SouthwestMiami,2,2,1,2,2,2,2,2,1,2,3,2
33175,SouthwestMiami,2,3,2,2,3,3,2,2,2,2,2,2
33176,SouthwestMiami,2,1,2,2,2,2,2,3,2,2,2,2
33177,SouthwestMiami,3,2,3,1,3,2,2,2,2,2,1,3
33178,NorthwestMiami,1,2,2,2,1,3,2,3,2,2,1,3
33179,NortheastMiami,2,1,2,1,2,1,1,2,1,2,3,2
33180,MiamiBeach,2,1,2,2,1,1,2,3,2,2,3,1
33181,NortheastMiami,2,3,2,1,2,1,1,2,1,2,2,2
33182,NorthwestMiami,2,1,2,1,2,3,2,3,2,2,1,3
33183,SouthwestMiami,2,3,2,1,2,3,3,2,2,2,2,2
33185,SouthwestMiami,3,3,2,1,2,3,3,3,2,2,1,3
33186,SouthwestMiami,2,2,2,2,2,3,2,2,2,2,2,3
33187,SouthwestMiami,3,3,3,1,2,3,2,3,2,2,1,3
33189,SouthwestMiami,3,2,2,1,3,1,2,2,2,2,2,3
33190,SouthwestMiami,3,2,3,1,2,1,2,2,1,1,2,3
33193,SouthwestMiami,3,3,2,1,2,3,2,2,2,2,2,3
33194,SouthwestMiami,3,3,2,1,2,3,2,3,2,2,1,3
33196,SouthwestMiami,3,3,3,1,2,3,2,3,2,2,1,3